day,Temperature (° F)_Max,Temperature (° F)_Avg,Temperature (° F)_Min,Dew Point (° F)_Max,Dew Point (° F)_Avg,Dew Point (° F)_Min,Humidity (%)_Max,Humidity (%)_Avg,Humidity (%)_Min,Wind Speed (mph)_Max,Wind Speed (mph)_Avg,Wind Speed (mph)_Min,Pressure (Hg)_Max,Pressure (Hg)_Avg,Pressure (Hg)_Min,Precipation (in)_Max,Precipation (in)_Avg,Precipation (in)_Min,date
1,46,40,35,43,40,34,100,-,68,13,-,0,30.28,-,29.83,-,0.00,-,201601
2,52,48,45,46,43,39,93,-,59,21,-,5,29.84,-,29.74,-,0.04,-,201601
3,48,45,42,45,41,35,93,-,62,21,-,6,29.84,-,29.21,-,0.35,-,201601
4,50,46,43,43,40,38,87,-,59,15,-,7,29.3,-,29.21,-,0.00,-,201601
5,49,46,42,43,40,37,87,-,61,16,-,8,29.37,-,29.24,-,0.08,-,201601
6,49,47,45,43,41,39,93,-,64,12,-,5,29.54,-,29.36,-,0.04,-,201601
7,53,48,42,47,39,34,94,-,41,29,-,8,29.67,-,29.18,-,0.31,-,201601
8,48,41,34,42,37,30,93,-,66,8,-,1,29.72,-,29.59,-,0.00,-,201601
9,52,44,37,45,42,37,100,-,59,21,-,5,29.63,-,29.33,-,0.12,-,201601
10,47,42,37,43,39,35,93,-,69,22,-,4,29.38,-,29.27,-,0.28,-,201601
11,48,42,37,43,40,37,93,-,59,20,-,6,29.34,-,29.09,-,0.08,-,201601
12,47,44,41,39,37,34,87,-,57,20,-,7,29.83,-,29.33,-,0.02,-,201601
13,44,40,35,37,34,31,87,-,52,18,-,5,30.15,-,29.83,-,0.04,-,201601
14,45,40,35,38,35,28,87,-,56,16,-,6,30.01,-,29.77,-,0.08,-,201601
15,43,38,32,34,28,25,87,-,44,15,-,4,30.25,-,29.95,-,0.00,-,201601
16,43,36,28,34,29,25,93,-,50,8,-,0,30.4,-,30.24,-,0.00,-,201601
17,39,34,30,34,30,26,93,-,59,8,-,0,30.39,-,30.24,-,0.00,-,201601
18,33,30,26,27,22,20,86,-,48,12,-,4,30.24,-,29.89,-,0.00,-,201601
19,32,27,22,25,22,19,86,-,61,7,-,1,30.09,-,29.92,-,0.00,-,201601
20,30,24,18,25,22,15,100,-,65,7,-,0,30.24,-,30.06,-,0.00,-,201601
21,41,30,19,29,23,17,100,-,40,7,-,0,30.32,-,30.21,-,0.00,-,201601
22,44,35,26,43,31,22,100,-,69,12,-,0,30.32,-,30.18,-,0.00,-,201601
23,46,44,41,45,42,39,100,-,79,12,-,0,30.59,-,30.33,-,0.00,-,201601
24,52,46,41,48,44,39,100,-,76,8,-,2,30.54,-,30.42,-,0.01,-,201601
25,57,47,37,46,41,34,94,-,46,10,-,0,30.42,-,30.27,-,0.00,-,201601
26,53,48,42,46,45,39,100,-,58,20,-,2,30.38,-,30.21,-,0.01,-,201601
27,54,52,50,47,45,42,87,-,54,20,-,13,30.23,-,30.01,-,0.04,-,201601
28,48,42,37,48,41,35,93,-,57,14,-,0,30.44,-,30.04,-,0.02,-,201601
29,49,41,33,45,38,32,100,-,62,17,-,0,30.45,-,30.27,-,0.00,-,201601
30,49,46,44,46,42,39,93,-,71,24,-,6,30.29,-,29.89,-,0.43,-,201601
31,56,50,43,54,47,39,100,-,74,17,-,0,30.12,-,29.89,-,0.12,-,201601
1,55,54,53,50,46,44,82,-,56,18,-,9,30.3,-,30.12,-,0.00,-,201602
2,54,49,44,49,45,39,87,-,71,18,-,6,30.27,-,30.04,-,0.08,-,201602
3,46,42,39,41,37,32,93,-,50,18,-,5,30.46,-,30.12,-,0.04,-,201602
4,52,44,37,48,42,35,94,-,69,17,-,5,30.48,-,30.33,-,0.02,-,201602
5,52,49,46,48,46,43,94,-,73,14,-,4,30.42,-,30.04,-,0.00,-,201602
6,57,50,42,45,42,37,93,-,39,22,-,5,30.06,-,29.47,-,0.00,-,201602
7,52,48,44,45,38,33,87,-,40,23,-,9,29.73,-,29.42,-,0.12,-,201602
8,53,48,44,47,40,36,93,-,45,31,-,13,29.7,-,29.42,-,0.16,-,201602
9,55,46,37,48,39,33,93,-,57,29,-,7,29.69,-,29.03,-,0.28,-,201602
10,47,42,36,37,34,32,87,-,51,20,-,7,29.71,-,29.44,-,0.02,-,201602
11,48,42,37,37,34,30,87,-,39,12,-,0,29.76,-,29.68,-,0.02,-,201602
12,41,39,37,38,36,33,93,-,72,14,-,0,29.69,-,29.24,-,0.08,-,201602
13,49,42,36,45,41,34,94,-,77,15,-,2,29.39,-,28.88,-,0.28,-,201602
14,46,42,37,41,37,32,93,-,62,15,-,4,29.65,-,29.09,-,0.02,-,201602
15,45,40,35,34,32,27,87,-,38,17,-,5,30.45,-,29.65,-,0.00,-,201602
16,43,36,28,30,27,21,93,-,31,13,-,0,30.61,-,30.45,-,0.00,-,201602
17,41,32,22,28,25,18,93,-,47,14,-,0,30.46,-,29.98,-,0.00,-,201602
18,40,34,27,36,30,23,87,-,65,12,-,4,30.11,-,29.92,-,0.03,-,201602
19,49,40,30,36,32,28,93,-,36,15,-,0,30.23,-,30.09,-,0.00,-,201602
20,55,49,43,50,45,36,94,-,64,20,-,12,30.14,-,30.01,-,0.12,-,201602
21,55,53,51,50,47,42,90,-,60,20,-,9,30.17,-,30.04,-,0.00,-,201602
22,53,52,50,48,45,42,88,-,60,16,-,8,30.03,-,29.86,-,0.03,-,201602
23,49,43,37,41,36,30,93,-,38,10,-,0,30.18,-,29.89,-,0.12,-,201602
24,45,38,31,37,33,29,93,-,43,12,-,1,30.18,-,29.92,-,0.00,-,201602
25,44,36,29,34,30,26,100,-,39,8,-,0,30.06,-,29.92,-,0.00,-,201602
26,45,36,27,30,26,23,87,-,32,14,-,0,30.05,-,29.68,-,0.00,-,201602
27,46,38,29,30,27,23,80,-,38,18,-,7,29.77,-,29.59,-,0.00,-,201602
28,44,38,32,27,25,23,80,-,33,23,-,10,30.07,-,29.74,-,0.00,-,201602
29,46,39,32,29,26,23,75,-,31,20,-,1,30.32,-,30.06,-,0.00,-,201602
1,50,38,27,47,36,24,93,-,59,16,-,0,30.31,-,29.89,-,0.12,-,201603
2,51,42,33,48,37,30,100,-,37,24,-,8,29.88,-,29.56,-,0.16,-,201603
3,47,43,39,38,33,28,87,-,37,21,-,0,29.8,-,29.59,-,0.02,-,201603
4,47,42,38,43,38,34,93,-,51,17,-,0,29.68,-,29.3,-,0.31,-,201603
5,46,40,33,37,33,28,100,-,40,13,-,2,29.63,-,29.3,-,0.12,-,201603
6,48,42,36,36,32,27,87,-,38,15,-,1,29.74,-,29.62,-,0.00,-,201603
7,44,40,35,34,31,27,87,-,38,18,-,0,29.92,-,29.62,-,0.01,-,201603
8,48,40,31,36,30,25,93,-,33,13,-,0,30.09,-,29.92,-,0.00,-,201603
9,49,45,41,41,36,28,93,-,45,23,-,7,29.95,-,29.42,-,0.24,-,201603
10,48,44,39,39,38,35,93,-,48,8,-,0,30.23,-,29.68,-,0.00,-,201603
11,52,44,37,39,35,30,87,-,34,8,-,1,30.35,-,30.21,-,0.00,-,201603
12,52,42,33,36,33,30,87,-,34,12,-,2,30.42,-,30.33,-,0.00,-,201603
13,52,42,33,36,32,28,87,-,36,16,-,5,30.45,-,30.36,-,0.00,-,201603
14,46,40,35,34,32,29,87,-,45,18,-,5,30.4,-,30.3,-,0.00,-,201603
15,55,44,32,39,31,27,81,-,23,16,-,2,30.33,-,30.18,-,0.00,-,201603
16,46,42,37,36,30,25,87,-,31,20,-,8,30.26,-,30.18,-,0.00,-,201603
17,55,44,34,34,30,27,75,-,30,12,-,4,30.35,-,30.24,-,0.00,-,201603
18,50,42,33,37,34,30,93,-,51,9,-,2,30.28,-,30.15,-,0.00,-,201603
19,45,42,39,38,36,33,87,-,57,13,-,2,30.22,-,30.15,-,0.00,-,201603
20,44,42,40,36,33,30,76,-,57,12,-,4,30.2,-,30.12,-,0.00,-,201603
21,51,44,37,39,36,32,87,-,44,13,-,2,30.2,-,30.12,-,0.00,-,201603
22,55,48,42,37,34,32,76,-,31,16,-,0,30.13,-,29.92,-,0.00,-,201603
23,52,46,39,38,36,35,93,-,42,13,-,4,30.04,-,29.92,-,0.00,-,201603
24,51,46,42,37,35,32,76,-,40,12,-,1,30.07,-,29.98,-,0.01,-,201603
25,57,50,42,50,44,36,94,-,54,12,-,0,30.11,-,29.92,-,0.12,-,201603
26,60,50,39,48,44,37,100,-,55,22,-,0,30.11,-,29.62,-,0.24,-,201603
27,57,50,44,45,40,37,93,-,36,22,-,5,29.87,-,29.68,-,0.24,-,201603
28,57,50,44,46,40,36,87,-,40,31,-,7,29.71,-,29.39,-,0.24,-,201603
29,57,50,43,48,41,36,88,-,37,16,-,6,29.85,-,29.71,-,0.08,-,201603
30,51,48,44,46,42,34,93,-,40,13,-,0,29.92,-,29.83,-,0.12,-,201603
31,45,44,42,43,40,38,93,-,70,15,-,6,29.99,-,29.8,-,0.51,-,201603
1,54,46,39,41,38,34,93,-,37,10,-,4,30.19,-,30.01,-,0.00,-,201604
2,51,42,34,50,40,32,100,-,64,14,-,2,30.13,-,29.8,-,0.00,-,201604
3,69,58,47,53,49,45,100,-,36,17,-,0,29.83,-,29.65,-,0.02,-,201604
4,63,56,50,52,45,39,88,-,34,16,-,2,29.75,-,29.65,-,0.08,-,201604
5,59,54,48,48,45,39,94,-,42,13,-,0,29.96,-,29.68,-,0.08,-,201604
6,59,52,44,48,42,38,88,-,39,20,-,0,29.99,-,29.89,-,0.04,-,201604
7,52,46,41,39,36,34,81,-,44,15,-,2,29.97,-,29.89,-,0.04,-,201604
8,55,49,43,43,40,34,87,-,36,9,-,0,29.98,-,29.86,-,0.04,-,201604
9,57,46,36,46,40,36,100,-,44,17,-,0,29.88,-,29.68,-,0.08,-,201604
10,63,48,34,45,41,34,100,-,37,18,-,0,29.83,-,29.65,-,0.00,-,201604
