day,Temperature (° F)_Max,Temperature (° F)_Avg,Temperature (° F)_Min,Dew Point (° F)_Max,Dew Point (° F)_Avg,Dew Point (° F)_Min,Humidity (%)_Max,Humidity (%)_Avg,Humidity (%)_Min,Wind Speed (mph)_Max,Wind Speed (mph)_Avg,Wind Speed (mph)_Min,Pressure (Hg)_Max,Pressure (Hg)_Avg,Pressure (Hg)_Min,Precipation (in)_Max,Precipation (in)_Avg,Precipation (in)_Min,date
1,46,40,35,43,40,35,100,-,80,15,-,2,30.27,-,29.98,-,0.00,-,201601
2,43,42,40,43,40,37,100,-,80,20,-,13,29.99,-,29.68,-,0.04,-,201601
3,47,44,41,47,43,39,100,-,71,21,-,12,29.69,-,29.18,-,0.04,-,201601
4,45,42,39,45,42,38,100,-,87,20,-,6,29.2,-,29.12,-,0.08,-,201601
5,45,43,41,44,42,40,100,-,78,15,-,8,29.36,-,29.18,-,0.01,-,201601
6,37,36,35,40,36,34,100,-,92,13,-,6,29.52,-,29.36,-,0.00,-,201601
7,46,40,35,45,39,35,100,-,59,36,-,9,29.48,-,29.06,-,0.51,-,201601
8,48,42,35,41,36,33,93,-,59,31,-,7,29.59,-,29.33,-,0.00,-,201601
9,45,39,33,43,40,32,100,-,87,18,-,6,29.56,-,29.24,-,0.00,-,201601
10,47,44,41,43,40,36,100,-,67,25,-,8,29.25,-,29.15,-,0.00,-,201601
11,45,40,35,43,39,36,100,-,76,18,-,8,29.24,-,29,-,0.08,-,201601
12,46,44,42,42,40,37,93,-,75,22,-,9,29.39,-,29.09,-,0.16,-,201601
13,44,40,35,42,37,31,100,-,68,21,-,6,29.93,-,29.39,-,0.31,-,201601
14,42,38,34,39,36,33,100,-,80,22,-,7,29.9,-,29.36,-,0.43,-,201601
15,39,34,30,37,34,30,100,-,78,18,-,2,30.11,-,29.47,-,0.03,-,201601
16,42,36,29,38,32,28,100,-,50,29,-,2,30.24,-,30.06,-,0.04,-,201601
17,36,30,24,31,25,19,100,-,54,16,-,2,30.36,-,30.21,-,0.00,-,201601
18,31,26,21,25,22,19,93,-,59,13,-,2,30.29,-,30.01,-,0.00,-,201601
19,36,28,20,32,26,18,100,-,72,13,-,2,30.03,-,29.98,-,0.00,-,201601
20,41,36,28,37,34,28,100,-,76,14,-,1,30.17,-,30.01,-,0.03,-,201601
