day,Temperature (° F)_Max,Temperature (° F)_Avg,Temperature (° F)_Min,Dew Point (° F)_Max,Dew Point (° F)_Avg,Dew Point (° F)_Min,Humidity (%)_Max,Humidity (%)_Avg,Humidity (%)_Min,Wind Speed (mph)_Max,Wind Speed (mph)_Avg,Wind Speed (mph)_Min,Pressure (Hg)_Max,Pressure (Hg)_Avg,Pressure (Hg)_Min,Precipation (in)_Max,Precipation (in)_Avg,Precipation (in)_Min,date
1,61,54,46,54,49,43,100,-,64,13,-,2,30.3,-,30.04,-,0.00,-,201601
2,63,56,50,55,45,33,94,-,29,22,-,1,30.12,-,29.95,-,0.00,-,201601
3,60,51,42,45,38,34,76,-,31,23,-,0,30.09,-,29.71,-,0.00,-,201601
4,61,56,51,52,47,42,94,-,46,12,-,0,29.7,-,29.53,-,0.04,-,201601
5,61,54,48,50,40,33,94,-,25,16,-,0,29.72,-,29.56,-,0.00,-,201601
6,58,52,45,36,33,29,66,-,27,31,-,0,29.86,-,29.71,-,0.00,-,201601
7,68,59,50,54,45,35,72,-,37,25,-,2,29.83,-,29.74,-,0.00,-,201601
8,68,62,55,55,52,48,94,-,46,23,-,0,29.83,-,29.71,-,0.00,-,201601
9,66,60,55,57,50,42,94,-,35,16,-,0,29.78,-,29.65,-,0.00,-,201601
10,63,58,54,54,47,39,82,-,33,31,-,2,29.78,-,29.68,-,0.00,-,201601
11,66,60,55,54,42,28,77,-,16,30,-,8,29.92,-,29.56,-,0.00,-,201601
12,61,56,51,34,32,28,50,-,19,24,-,6,30.16,-,29.92,-,0.00,-,201601
13,59,50,42,43,36,30,71,-,29,17,-,2,30.35,-,30.15,-,0.00,-,201601
14,61,54,47,46,43,39,82,-,34,20,-,1,30.18,-,29.89,-,0.00,-,201601
15,53,50,46,46,39,16,87,-,17,13,-,1,30.19,-,30.04,-,0.02,-,201601
16,56,48,39,25,16,3,53,-,5,17,-,2,30.32,-,30.18,-,0.00,-,201601
17,53,44,35,36,27,18,62,-,21,15,-,2,30.33,-,30.15,-,0.00,-,201601
18,56,49,42,46,35,28,82,-,30,21,-,0,30.15,-,29.86,-,0.00,-,201601
19,55,48,42,45,39,35,87,-,40,14,-,1,30.08,-,29.95,-,0.00,-,201601
20,61,51,41,46,39,34,81,-,30,15,-,0,30.09,-,29.98,-,0.00,-,201601
21,58,48,39,46,40,34,93,-,54,16,-,0,30.3,-,30.06,-,1.42,-,201601
22,59,50,41,52,44,36,94,-,58,14,-,1,30.48,-,30.3,-,0.00,-,201601
23,62,54,46,54,47,41,94,-,47,15,-,0,30.57,-,30.48,-,0.00,-,201601
24,58,52,46,52,47,41,93,-,65,12,-,0,30.61,-,30.51,-,0.00,-,201601
25,61,58,54,54,52,49,94,-,58,18,-,0,30.53,-,30.42,-,0.00,-,201601
