day,Temperature (° F)_Max,Temperature (° F)_Avg,Temperature (° F)_Min,Dew Point (° F)_Max,Dew Point (° F)_Avg,Dew Point (° F)_Min,Humidity (%)_Max,Humidity (%)_Avg,Humidity (%)_Min,Wind Speed (mph)_Max,Wind Speed (mph)_Avg,Wind Speed (mph)_Min,Pressure (Hg)_Max,Pressure (Hg)_Avg,Pressure (Hg)_Min,Precipation (in)_Max,Precipation (in)_Avg,Precipation (in)_Min,date
1,48,42,37,45,39,34,87,-,76,17,-,2,30.21,-,29.68,-,0.00,-,201601
2,53,50,48,50,47,45,94,-,82,17,-,7,29.65,-,29.39,-,0.00,-,201601
3,51,48,44,48,43,36,94,-,71,20,-,4,29.59,-,29.06,-,0.00,-,201601
4,51,48,46,45,43,41,87,-,71,12,-,5,29.06,-,29,-,0.00,-,201601
5,51,46,42,45,44,41,93,-,76,10,-,2,29.24,-,29,-,0.00,-,201601
6,46,44,42,43,42,41,100,-,81,9,-,0,29.44,-,29.24,-,0.00,-,201601
7,51,46,41,48,39,32,94,-,57,30,-,4,29.53,-,28.94,-,0.00,-,201601
8,50,44,39,43,39,34,87,-,66,14,-,2,29.56,-,29.44,-,0.00,-,201601
9,51,48,44,46,44,39,87,-,76,26,-,6,29.44,-,29.03,-,0.00,-,201601
10,48,45,42,39,38,36,81,-,66,18,-,6,29.15,-,29.03,-,0.00,-,201601
11,46,44,42,43,40,37,87,-,76,18,-,4,29.24,-,28.91,-,0.00,-,201601
12,46,44,41,37,37,34,87,-,66,24,-,10,29.77,-,29.24,-,0.00,-,201601
13,44,42,39,37,34,30,81,-,57,18,-,6,30.01,-,29.71,-,0.00,-,201601
14,42,40,37,39,32,25,87,-,53,24,-,9,29.92,-,29.62,-,0.00,-,201601
15,42,40,37,32,30,27,81,-,53,17,-,8,30.3,-,29.95,-,0.00,-,201601
16,41,38,35,32,30,28,87,-,65,10,-,0,30.39,-,30.3,-,0.00,-,201601
17,41,36,33,34,32,28,93,-,65,10,-,0,30.36,-,30.12,-,0.00,-,201601
18,41,36,32,34,30,25,87,-,65,10,-,0,30.09,-,29.92,-,0.00,-,201601
19,41,36,30,28,24,16,86,-,36,6,-,0,30.09,-,29.98,-,0.00,-,201601
20,42,36,30,32,28,23,93,-,65,6,-,0,30.18,-,30.09,-,0.00,-,201601
21,46,38,30,34,32,28,100,-,61,13,-,0,30.18,-,30.15,-,0.00,-,201601
22,51,46,42,48,40,34,94,-,70,13,-,6,30.24,-,29.95,-,0.00,-,201601
23,51,48,44,45,43,41,93,-,76,17,-,4,30.45,-,30.24,-,0.00,-,201601
24,59,54,50,54,51,46,94,-,82,14,-,4,30.33,-,30.27,-,0.00,-,201601
25,57,52,48,50,45,39,88,-,58,22,-,5,30.24,-,30.04,-,0.00,-,201601
26,53,50,46,48,44,41,88,-,67,24,-,7,30.21,-,29.86,-,0.00,-,201601
27,57,52,48,52,48,37,88,-,66,24,-,13,30.01,-,29.71,-,0.00,-,201601
28,50,44,39,43,35,32,76,-,54,22,-,7,30.27,-,30.04,-,0.00,-,201601
29,55,52,50,48,46,43,82,-,67,25,-,17,30.15,-,29.83,-,0.00,-,201601
30,53,48,41,48,36,27,88,-,46,24,-,9,29.89,-,29.74,-,0.00,-,201601
31,57,49,41,50,44,34,93,-,70,24,-,6,29.89,-,29.68,-,0.00,-,201601
1,59,54,50,48,44,37,82,-,51,31,-,16,29.98,-,29.92,-,0.00,-,201602
2,51,46,41,39,35,30,76,-,44,28,-,12,30.04,-,29.92,-,0.00,-,201602
3,48,44,39,36,33,30,81,-,54,21,-,9,30.36,-,30.04,-,0.00,-,201602
4,57,49,41,48,43,34,88,-,67,21,-,6,30.36,-,30.15,-,0.00,-,201602
5,51,50,50,48,45,43,88,-,71,20,-,8,30.27,-,29.8,-,0.00,-,201602
6,55,52,44,46,44,39,87,-,58,26,-,9,29.8,-,29.12,-,0.00,-,201602
7,50,46,42,46,37,34,87,-,54,26,-,7,29.39,-,29.06,-,0.00,-,201602
8,50,47,44,41,36,32,76,-,54,34,-,16,29.39,-,29.03,-,0.00,-,201602
9,46,44,41,37,33,28,81,-,50,21,-,4,29.36,-,29.06,-,0.00,-,201602
10,48,44,39,37,35,32,81,-,58,17,-,5,29.65,-,29.24,-,0.00,-,201602
11,48,42,35,36,33,28,93,-,46,10,-,4,29.68,-,29.53,-,0.00,-,201602
12,42,40,37,39,36,34,93,-,76,14,-,2,29.53,-,29.36,-,0.00,-,201602
13,42,38,35,37,36,32,93,-,76,20,-,2,29.36,-,29.03,-,0.00,-,201602
14,44,40,35,37,31,25,93,-,53,16,-,5,29.86,-,29.18,-,0.00,-,201602
15,44,38,33,34,31,28,87,-,57,16,-,2,30.57,-,29.89,-,0.00,-,201602
16,46,39,32,34,31,28,93,-,53,13,-,0,30.6,-,30.36,-,0.00,-,201602
17,44,40,35,39,34,28,93,-,53,14,-,5,30.33,-,29.8,-,0.00,-,201602
18,46,42,37,37,33,25,93,-,49,12,-,2,30.06,-,29.8,-,0.00,-,201602
19,50,42,35,46,37,32,87,-,58,21,-,4,30.06,-,29.77,-,0.00,-,201602
20,55,52,48,50,46,39,94,-,58,24,-,12,29.83,-,29.74,-,0.00,-,201602
21,59,55,51,50,49,48,94,-,72,25,-,14,29.86,-,29.74,-,0.00,-,201602
22,53,48,44,50,39,28,100,-,46,20,-,5,29.89,-,29.71,-,0.00,-,201602
23,48,42,37,36,33,30,87,-,54,12,-,0,30.15,-,29.89,-,0.00,-,201602
24,46,39,32,36,29,23,93,-,43,7,-,0,30.15,-,29.98,-,0.00,-,201602
25,42,38,33,32,28,23,87,-,49,10,-,0,30.04,-,29.98,-,0.00,-,201602
26,46,39,32,34,29,27,87,-,50,12,-,0,29.98,-,29.74,-,0.00,-,201602
27,42,40,39,34,29,25,81,-,49,18,-,4,30.01,-,29.74,-,0.00,-,201602
28,46,42,37,32,30,25,75,-,43,18,-,7,30.3,-,30.01,-,0.00,-,201602
29,48,42,35,34,31,28,87,-,50,10,-,0,30.36,-,30.24,-,0.00,-,201602
1,55,48,41,50,43,34,94,-,62,23,-,9,30.21,-,29.62,-,0.00,-,201603
2,48,44,39,41,35,30,93,-,57,31,-,14,29.59,-,29.33,-,0.00,-,201603
3,50,44,39,41,34,28,87,-,46,24,-,8,29.74,-,29.36,-,0.00,-,201603
4,48,42,37,43,32,27,93,-,46,17,-,0,29.36,-,29.24,-,0.00,-,201603
5,44,38,33,37,33,28,87,-,61,17,-,0,29.68,-,29.36,-,0.00,-,201603
6,44,40,35,34,32,30,87,-,57,14,-,4,29.74,-,29.65,-,0.00,-,201603
7,44,40,35,32,30,28,87,-,53,15,-,4,29.98,-,29.68,-,0.00,-,201603
8,48,40,33,45,33,25,93,-,53,14,-,2,30.01,-,29.62,-,0.00,-,201603
9,50,46,42,45,43,39,93,-,76,18,-,2,29.83,-,29.18,-,0.00,-,201603
10,48,44,39,41,39,36,93,-,66,8,-,0,30.3,-,29.83,-,0.00,-,201603
11,50,41,32,37,36,32,100,-,58,8,-,0,30.42,-,30.3,-,0.00,-,201603
12,51,45,39,41,39,36,100,-,54,10,-,0,30.51,-,30.39,-,0.00,-,201603
13,48,42,35,39,36,34,100,-,58,16,-,2,30.57,-,30.51,-,0.00,-,201603
14,50,46,41,37,34,25,87,-,37,22,-,4,30.57,-,30.45,-,0.00,-,201603
15,48,42,37,41,39,34,93,-,76,14,-,0,30.45,-,30.39,-,0.00,-,201603
16,48,44,41,43,37,30,93,-,50,22,-,7,30.45,-,30.36,-,0.00,-,201603
17,51,43,35,37,34,28,93,-,43,15,-,2,30.45,-,30.36,-,0.00,-,201603
18,46,42,37,39,37,32,93,-,71,12,-,2,30.36,-,30.27,-,0.00,-,201603
19,48,45,42,39,36,34,87,-,62,14,-,6,30.33,-,30.27,-,0.00,-,201603
