day,Temperature (° F)_Max,Temperature (° F)_Avg,Temperature (° F)_Min,Dew Point (° F)_Max,Dew Point (° F)_Avg,Dew Point (° F)_Min,Humidity (%)_Max,Humidity (%)_Avg,Humidity (%)_Min,Wind Speed (mph)_Max,Wind Speed (mph)_Avg,Wind Speed (mph)_Min,Pressure (Hg)_Max,Pressure (Hg)_Avg,Pressure (Hg)_Min,Precipation (in)_Max,Precipation (in)_Avg,Precipation (in)_Min,date
1,34,28,21,32,26,21,100,-,80,9,-,0,30.43,-,30.24,-,0.01,-,201601
2,28,26,23,30,25,18,100,-,78,21,-,1,30.29,-,30.15,-,0.00,-,201601
3,23,22,21,18,15,14,80,-,59,22,-,9,30.2,-,29.8,-,0.00,-,201601
4,21,19,17,18,16,14,93,-,62,31,-,8,29.84,-,29.5,-,0.12,-,201601
5,23,20,17,23,18,16,100,-,82,15,-,5,29.73,-,29.53,-,0.02,-,201601
6,28,24,20,28,26,22,100,-,93,12,-,2,29.73,-,29.59,-,0.00,-,201601
7,33,28,24,31,28,25,100,-,87,12,-,2,29.7,-,29.59,-,0.00,-,201601
8,49,36,23,36,30,23,100,-,39,14,-,1,29.83,-,29.62,-,0.00,-,201601
9,34,32,29,34,33,30,100,-,93,11,-,1,29.82,-,29.71,-,0.00,-,201601
10,37,34,32,36,34,32,100,-,93,9,-,1,29.75,-,29.56,-,0.08,-,201601
11,43,38,32,41,36,32,100,-,81,20,-,1,29.62,-,29.27,-,0.16,-,201601
12,50,44,38,36,33,31,81,-,38,22,-,5,29.66,-,29.33,-,0.00,-,201601
13,47,44,40,34,31,28,76,-,40,29,-,10,29.98,-,29.65,-,0.00,-,201601
14,43,38,32,32,29,25,87,-,44,18,-,5,30.06,-,29.74,-,0.00,-,201601
15,42,36,30,31,28,23,93,-,34,23,-,1,29.89,-,29.74,-,0.00,-,201601
16,36,34,28,32,25,19,100,-,47,18,-,4,30.14,-,29.86,-,0.02,-,201601
17,32,28,24,25,19,15,86,-,41,18,-,2,30.21,-,29.98,-,0.00,-,201601
18,31,24,17,18,15,14,86,-,34,14,-,1,30.27,-,30.09,-,0.00,-,201601
19,29,21,13,21,17,10,100,-,52,9,-,1,30.15,-,30.01,-,0.00,-,201601
20,34,24,15,25,19,14,100,-,30,20,-,1,30.09,-,30.01,-,0.01,-,201601
21,30,26,21,28,20,14,93,-,49,18,-,6,30.53,-,30.04,-,0.04,-,201601
22,30,20,11,18,15,9,93,-,44,12,-,1,30.63,-,30.48,-,0.00,-,201601
23,27,22,16,27,20,16,100,-,67,14,-,1,30.58,-,30.42,-,0.28,-,201601
24,44,34,25,34,32,26,100,-,50,16,-,1,30.57,-,30.48,-,0.00,-,201601
25,48,39,30,45,36,30,100,-,81,14,-,1,30.52,-,30.3,-,0.51,-,201601
26,53,42,32,43,38,32,100,-,57,12,-,2,30.37,-,30.3,-,0.00,-,201601
27,45,37,29,41,34,30,100,-,77,14,-,1,30.35,-,30.18,-,0.00,-,201601
28,62,49,36,41,37,34,93,-,27,21,-,4,30.38,-,30.12,-,0.00,-,201601
29,52,44,35,43,40,36,100,-,53,21,-,1,30.44,-,30.33,-,0.16,-,201601
30,37,33,29,37,35,30,100,-,96,12,-,1,30.41,-,29.86,-,0.00,-,201601
31,45,39,33,45,36,32,100,-,54,25,-,2,30.02,-,29.83,-,0.02,-,201601
1,57,48,38,50,45,38,100,-,52,22,-,2,30.18,-,29.86,-,0.12,-,201602
2,53,46,39,45,41,39,100,-,47,21,-,2,30.19,-,29.98,-,0.00,-,201602
3,52,44,37,41,38,35,93,-,45,21,-,2,30.08,-,29.98,-,0.67,-,201602
4,45,40,36,36,30,28,87,-,41,28,-,5,30.22,-,30.06,-,0.01,-,201602
5,44,38,33,34,31,24,100,-,32,18,-,2,30.39,-,30.12,-,0.04,-,201602
6,48,39,30,36,33,28,93,-,52,20,-,2,30.37,-,30.01,-,0.00,-,201602
7,59,48,38,39,36,33,81,-,30,23,-,8,30.05,-,29.77,-,0.00,-,201602
8,53,48,43,43,39,36,81,-,50,20,-,1,29.96,-,29.68,-,0.00,-,201602
9,55,48,40,43,41,37,93,-,47,32,-,4,29.89,-,29.3,-,0.08,-,201602
10,41,40,39,43,35,28,93,-,54,27,-,9,29.54,-,29.3,-,0.08,-,201602
11,46,42,35,31,29,28,81,-,40,23,-,2,29.82,-,29.53,-,0.00,-,201602
12,44,36,28,36,31,27,93,-,49,18,-,2,29.82,-,29.44,-,0.00,-,201602
13,44,39,34,36,34,32,100,-,50,16,-,1,29.48,-,29.3,-,0.00,-,201602
14,47,41,35,46,39,34,100,-,68,20,-,4,29.39,-,29.3,-,0.08,-,201602
